,Condition,Sex
CVS_M_72351,CVS,M
CVS_F_71419,CVS,F
CVS_F_71318,CVS,F
CVS_F_71146,CVS,F
CVS_M_72111,CVS,M
CVS_M_72350,CVS,M
CVS_F_70696,CVS,F
CVS_F_70847,CVS,F
CVS_F_72375,CVS,F
CVS_M_70830,CVS,M
CVS_M_71756,CVS,M
CVS_F_71335,CVS,F
CVS_F_71949,CVS,F
CVS_M_72268,CVS,M
CVS_F_72091,CVS,F
CVS_F_72439,CVS,F
CVS_M_70973,CVS,M
CVS_M_71282,CVS,M
CVS_M_70838,CVS,M
CVS_F_72340,CVS,F
CVS_F_70738,CVS,F
CVS_F_70710,CVS,F
CVS_F_72290,CVS,F
CVS_M_71673,CVS,M
CVS_M_72388,CVS,M
CVS_M_71637,CVS,M
CVS_F_70879,CVS,F
CVS_F_71016,CVS,F
CVS_F_72402,CVS,F
CVS_F_71099,CVS,F
CVS_M_72380,CVS,M
CVS_M_71758,CVS,M
CVS_F_71759,CVS,F
CVS_F_71869,CVS,F
CVS_F_71757,CVS,F
CVS_M_72003,CVS,M
CVS_F_71527,CVS,F
CVS_F_71620,CVS,F
CVS_M_71806,CVS,M
CVS_M_71186,CVS,M
CVS_F_71250,CVS,F
CVS_F_71369,CVS,F
CVS_M_70911,CVS,M
PL_M_71997,PL,M
PL_M_72343,PL,M
PL_F_72298,PL,F
PL_F_72367,PL,F
PL_F_71987,PL,F
PL_M_72351,PL,M
PL_M_72039,PL,M
PL_M_72268,PL,M
PL_M_72373,PL,M
PL_M_72350,PL,M
PL_M_72416,PL,M
PL_M_72361,PL,M
PL_M_72420,PL,M
PL_F_72290,PL,F
PL_F_72439,PL,F
PL_M_72311,PL,M
PL_F_72387,PL,F
PL_F_72402,PL,F
PL_F_72424,PL,F
PL_M_72408,PL,M
PL_M_72344,PL,M
PL_M_72319,PL,M
PL_F_72115,PL,F
PL_F_72375,PL,F
PL_M_72287,PL,M
PL_F_72475,PL,F
PL_M_72358,PL,M
PL_M_72275,PL,M
PL_M_72330,PL,M
PL_M_72145,PL,M
PL_M_72273,PL,M
PL_M_72355,PL,M
PL_F_72391,PL,F
PL_F_72155,PL,F
PL_F_72359,PL,F
PL_M_72334,PL,M
PL_F_72114,PL,F
PL_F_72426,PL,F
PL_M_72388,PL,M
PL_M_72306,PL,M
PL_F_72314,PL,F
PL_M_72316,PL,M
PL_F_72340,PL,F
